accepted_bin,wood_density,root_depth,leaf_n,leaf_p,stem_diameter,bark_thickness,seed_dry_mass,leaf_k,stomatal_conduct.,leaf_thickness,leaf_density,leaf_vcmax,conduit_diam.,crown_diameter,crown_height,tree_height,leaf_area,specific_leaf_area,shade,drought,water,cold,fire_tol,growth_rate
Pinus banksiana,0.46547853449732074,4.32,11.201559809155857,1.027020589734406,0.7366,4.11634125314706,12.24497986159851,5.197006595527793,88.3912468587359,0.5429340625400374,0.3815714684907142,0.23201139699258724,12.280642702951369,7.1496154,32.61000000000001,50.29999999999999,123.24988154715042,5.4676370559702026,1.36,4,1,-47.2,1,3
Pinus resinosa,0.4256501436440005,3.5052,11.654840603257444,1.1828026488164085,1.05,21.390580104642854,9.774436631208632,6.0970413609317315,68.88709341201698,0.4528804804382451,0.23989214259290104,0.15829187896837205,10.84976027394558,12.22248,27.188160000000003,46.38515892816651,124.87684343951456,4.600452968161122,1.89,3,1,-41.6,2,3
Pinus rigida,0.5172831843481581,3.4,11.35098925765971,0.7988914104710296,0.413,40.28758496545984,9.972508574967424,5.456988929072658,177.38797878349374,0.22347662933081747,0.23989214259290104,0.07543094602882322,13.31077502446406,12.22248,8.35152,33.5,88.66721926417802,6.404932328099355,1.99,4,2,-41.6,2,3
Pinus strobus,0.4062407342405494,6.095999999999999,14.81936558792723,0.939026193957159,1.022761495,24.27983245801604,24.050999238205293,6.731430705607357,121.90560331259664,0.5853640625362752,0.3679048311212567,0.25264176745113176,12.2874612967577,7.15711832900349,27.188160000000003,82.00000000000001,109.26381160422568,6.804199089560697,3.21,2.29,1.03,-36.1,1,3
Pinus sylvestris,0.5032139160549617,4.999999999999999,11.869268399290425,1.0026928255371117,1.7,33.266497043023264,15.796798102873725,5.535126733596969,107.18195112004916,0.641811726606302,0.358283297510687,0.2873853701441266,12.780190417136437,7.1496154,32.61000000000001,48.00000000000001,45.36329478398062,3.57562853588403,NA,NA,NA,NA,NA,NA
Platanus occidentalis,0.49142851714354696,2.7432000000000003,18.17823291440913,1.1899579591801082,1.025,2.3976912524709655,2.8162731316461422,10.700952395223704,128.92873152154704,0.1561085813238184,0.4493159213111073,0.32296408918029545,22.89073604382527,7.820000000000001,9.2,51,5707.552616218016,12.291843543092767,2.86,2.25,2.71,-36.67,3,3
Populus balsamifera,0.37421748322725334,1.52,19.878838109794156,1.8640182793705249,2.1,1.0769103324774318,0.5326383691581393,9.402360904144729,366.2803109936926,0.17933961495322537,0.4229363437360746,0.6057337425914998,32.908016342193385,6.4,8.72,59.999999999999986,2392.277041290438,12.603074889673708,1.27,1.77,2.63,-61.67,4,3
Populus deltoides,0.5298305643882617,3.77952,20.06395173861057,1.9175886297794371,0.955,0.5308963421722948,5.743934958145058,12.388393454767254,252.3804026061341,0.22808845249052845,0.3609230641140864,0.5223504374187645,30.740125654522004,6.4,18.300000000000004,57.999999999999986,5409.5864082359385,14.28867951216716,1.76,1.57,3.03,-41.67,3,3
Populus grandidentata,0.4447280654991338,2,19.603674157841716,1.448919891106171,2.1,1.0769103324774318,0.20740658485236457,8.971711365580425,242.79730588588623,0.1598448227831126,0.49070286852888995,0.46801375073313944,32.908016342193385,6.4,8.72,40,861.8606175116382,11.902466773240864,NA,NA,NA,NA,NA,NA
Populus heterophylla,0.39288755836047246,3.77952,23.594338773172097,0.8033649915759786,2.1,1.049300230228436,2.358894639129003,10.119599535188511,417.6530001323016,0.22422319072322056,0.4286512662010185,0.60847607111646,31.4560145901133,6.4,8.72,57.91199999999998,6116.282075483469,12.82759025193418,1.24,2,4,-30.56,3,2
Populus tremuloides,0.4199954325302625,1.52,21.013489385184545,1.5892020600869905,2.1,1.0769103324774318,0.23759803045992495,10.112485543739254,357.23047477339634,0.16912667210030194,0.4838067040493757,0.6057337425914998,31.899182989945373,6.4,8.72,59.999999999999986,3126.178052954753,13.076016868417494,1.21,1.77,1.77,-56.67,4,3
Prunus pensylvanica,0.4719739585376631,4.9,21.01008904578583,1.3711499099884197,0.191,2.239457896069026,91.39606695071502,13.201630862501323,268.44698899812784,0.11744843203596392,0.538997945988925,0.32927802584597804,44.63887618298924,8.884866446599998,16.099999999999998,30.000000000000004,1753.6867282188375,14.362482775489935,3.14,2.36,2.22,-38.88,4,3
Prunus serotina,0.6491121671193071,3.5999999999999996,17.405770942119847,1.4999172710998083,0.5,2.9529366853935017,105.50590299621564,7.717596842018604,140.81779499042423,0.12589902190777774,0.41263788716102406,0.2900510430229996,33.612939078423146,7.644716809900001,7.748,37.99999999999999,2554.1043271719086,14.146488228309492,2.46,3.02,1.06,-36.11,2,3
